Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
150	:	1671204382.202	     2.371	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.272727272727273
151	:	1671204382.286	     2.365	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.247191011235955
152	:	1671204382.364	     2.359	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.2222222222222223
153	:	1671204382.436	     2.354	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.1978021978021975
154	:	1671204382.520	     2.470	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.1739130434782608
155	:	1671204382.586	     2.592	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.150537634408602
156	:	1671204382.664	     2.589	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.127659574468085
157	:	1671204382.748	     2.577	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.1052631578947367
158	:	1671204382.814	     2.585	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.0833333333333335
159	:	1671204382.898	     2.578	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.061855670103093
160	:	1671204382.984	     2.569	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.0408163265306123
161	:	1671204383.052	     2.572	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.0202020202020203
162	:	1671204383.112	     2.592	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 2.0
163	:	1671204383.184	     2.586	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.9801980198019802
164	:	1671204383.255	     2.589	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.9607843137254901
165	:	1671204383.320	     2.604	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.941747572815534
166	:	1671204383.381	     2.622	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.923076923076923
167	:	1671204383.452	     2.624	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.9047619047619047
168	:	1671204383.529	     2.624	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8867924528301885
169	:	1671204383.610	     2.632	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8691588785046729
170	:	1671204383.688	     2.615	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8518518518518516
171	:	1671204383.766	     2.614	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8348623853211008
172	:	1671204383.848	     2.611	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8181818181818181
173	:	1671204383.926	     2.638	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.8018018018018016
174	:	1671204384.040	     2.595	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7857142857142856
175	:	1671204384.118	     2.583	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7699115044247788
176	:	1671204384.215	     2.568	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7543859649122808
177	:	1671204384.283	     2.576	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7391304347826089
178	:	1671204384.352	     2.582	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7241379310344829
179	:	1671204384.436	     2.565	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.7094017094017095
180	:	1671204384.505	     2.558	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6949152542372883
181	:	1671204384.573	     2.562	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.680672268907563
182	:	1671204384.651	     2.558	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6666666666666667
183	:	1671204384.723	     2.552	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6528925619834711
184	:	1671204384.790	     2.558	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.639344262295082
185	:	1671204384.990	     2.427	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6260162601626016
186	:	1671204385.178	     2.312	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6129032258064517
187	:	1671204385.253	     2.313	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.6
188	:	1671204385.325	     2.317	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5873015873015872
189	:	1671204385.398	     2.437	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.574803149606299
190	:	1671204385.476	     2.450	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5625
191	:	1671204385.552	     2.450	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5503875968992247
192	:	1671204385.624	     2.448	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5384615384615383
193	:	1671204385.705	     2.458	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5267175572519083
194	:	1671204385.770	     2.470	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5151515151515151
195	:	1671204385.845	     2.473	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.5037593984962405
196	:	1671204385.923	     2.469	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4925373134328357
197	:	1671204386.004	     2.490	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4814814814814814
198	:	1671204386.076	     2.490	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4705882352941175
199	:	1671204386.153	     2.484	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4598540145985401
200	:	1671204386.242	     2.467	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4492753623188408
201	:	1671204386.303	     2.483	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4388489208633095
202	:	1671204386.380	     2.478	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4285714285714286
203	:	1671204386.459	     2.477	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4184397163120568
204	:	1671204386.564	     2.439	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.4084507042253522
205	:	1671204386.636	     2.434	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3986013986013988
206	:	1671204386.701	     2.453	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3888888888888888
207	:	1671204386.782	     2.450	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3793103448275863
208	:	1671204386.860	     2.478	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.36986301369863
